"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
321.58,227.643,268.434,281.325,460.152,158.442,609.734,371.552,457.147,362.892,437.266,285.961,319.593,406.317,435.421,461.15
608.679,359.382,479.029,454.499,829.977,306.69,709.933,585.052,595.789,485.264,497.857,456.698,594.453,106.045,662.64,569.349
292.769,255.967,300.84,272.4,268.889,196.906,399.824,250.798,295.998,347.137,374.127,215.451,251.106,249.2,349.958,293.68
525.842,394.584,420.594,394.12,532.375,264.536,632.626,373.608,470.512,619.044,564.1,394.333,353.505,376.988,455.196,429.526
0,8.554,0,0,0,0,29.168,17.076,0,0,11,0,0,0,0,20
154.805,259.642,342.853,176.286,277.694,115.844,384.131,391.191,203.292,293.196,193.312,168.122,161.647,164.75,251.728,461.768
262.303,495.648,240,533.652,454,512.041,1078.1,412.861,303,620.383,608.582,302.962,405.748,847.35,561,1210.399
425,494.021,423.856,401.385,451.855,492.52,992.852,567.007,531.64,777.859,618.164,452.617,469.203,492.706,550.988,747.35
1890.124,1357.085,1912.131,1686.017,2010.881,1124.343,2365.566,1763.262,1952.21,2574.394,2497.347,1806.867,2521.548,1890.052,3619.875,2600.199
6,5,3,3,409.067,228.999,231.001,146.022,135.001,1092.397,819,273,184.019,150,211,144
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2139.901,1576.342,2242.898,1782.718,2363.853,1321.578,3411.443,2514.592,2837.424,2427.666,2243.537,2401.765,2001.807,1844.076,2657.322,2378.484
859.306,558.092,808.785,612.043,759.499,319.873,881.702,640.753,690.003,538.911,568.166,612.433,574.35,407.227,816.541,586.677
905.449,1008.612,1049.626,1180.007,1239.2,941.055,1937.274,1057.664,863.214,1045.056,1164.912,894.792,1061.471,1234.92,1311.143,1609.243
212.619,231.911,204.334,181.95,182.999,67.786,243.604,177.527,146.902,235.901,220.853,177.696,109.043,129.945,170.848,207.559
1470.835,1277.9,1557.552,1336.05,1555.602,1049.776,3022.945,1443.078,1792.511,2195.022,1936.389,1435.006,1316.006,1313.182,1601.931,1587.352
176.589,202,130.072,175.412,175.145,77.113,230.967,164.298,149.79,134.176,226.169,66.867,220.185,129.874,256.087,184.986
532.481,514.77,589.88,569.315,620.721,429.602,1002.506,599.49,751.77,708.25,716.43,584.707,461.032,617.776,835.647,742.661
730.047,454.347,804.965,494.447,755.435,373.862,699.268,579.623,853.601,721.835,667.936,684.121,568.211,443.285,839.075,564.802
5.413,4,1,5,24.552,30,34,12.803,9.49,10,16.77,6,15,25,6.704,21.825
48.021,117.5,38.15,13.809,135.347,60.652,264.599,144.974,158.423,182.75,286.456,207.347,69.882,79.979,70.95,99.393
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208.973,125.598,131.743,172.016,113.266,74.645,232.221,107.123,184.784,155.494,193.466,202,185.982,143.544,181.985,235.273
29.716,78,100,64.98,154.002,66,80.843,97.966,207.391,239.481,225.133,172.13,17.384,143.59,124.035,218
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,2,0,0,1,1,0
51,19,37,17,47,25,37.069,50,43.032,34,52,30,37,35,36,70
168.46,282.956,163.144,312.77,240.817,307.942,583.552,237.027,266.827,434.453,388.266,236.397,123.133,286.152,218.26,303.711
0,3,12,4,8,2,11,1.909,8,4,3,0,6,0,5.323,1.301
3023.422,2376.751,3269.823,2329.129,3656.925,1508.434,3921.342,2560.56,3740.927,3261.653,2733.792,2441.06,2866.493,2268.116,3754.558,3260.234
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.441,0,2.507,0,0,0,5.239,0,0,0,1.522,0,2,1.419,2.633,9.234
1530.862,1097.089,1654.099,1239.192,1626.652,826.95,2637.773,1777.953,1052.001,741.566,700.178,1021.32,1573.181,1929.48,3074.787,4165.125
1167.727,524.784,960.085,749.979,1894.003,229.587,1211.99,1115.91,1841.04,1225.761,910.235,1555.85,2569.206,670.414,2821.528,865.426
3989.101,3911.947,3695.781,3724.231,3260.135,2075.313,5791.206,3500.09,3540.671,4950.828,4503.601,3287.401,2823.606,2985.606,3732.635,3805.337
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
