"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
0.735393,0.382307,1.087947,0.575431,0.877152,1.099941,0.532021,0.863487,0.965055,0.526495,0.7109,0.66236,0.862742,0.550114,1.355602,0.520091
57.030858,62.429905,58.168824,65.965114,43.766317,48.668688,52.019186,45.533567,38.92736,41.806914,48.336959,41.244874,51.4131,59.283234,57.575214,65.437331
8.323476,12.186305,7.906454,13.067802,8.835793,14.670294,11.936414,9.288905,7.249219,10.051191,10.507478,7.602292,9.332439,14.778234,10.264856,14.773313
26.767483,25.753812,25.258577,26.392163,23.656664,21.97394,22.7824,23.194885,22.951308,22.667324,23.296435,27.501044,26.859951,27.332038,29.969177,23.649336
2.283433,1.926214,2.102054,2.216383,3.546353,1.872597,2.950395,2.88151,2.346213,2.738263,2.852203,2.406589,3.867606,4.232276,3.573062,3.057915
3.264955,5.671303,6.386982,4.014322,2.522519,4.153721,3.86561,4.780535,5.66694,3.690027,3.218092,3.155196,3.276853,8.303369,4.304309,5.717037
3.595866,4.756295,4.436004,6.403765,4.141689,5.716069,4.930632,4.599154,4.572674,6.527289,6.412223,4.9573,5.031618,6.163915,4.80149,3.07509
13.863839,20.035238,11.199976,18.721506,15.150257,21.405886,27.701338,18.782702,19.712981,30.961047,28.550293,30.17266,22.554174,26.021193,20.354285,17.875229
1.463463,0.99267,2.08584,1.355263,2.224163,1.465758,1.577,2.53502,2.414918,2.053825,1.34311,2.080057,2.349196,1.368515,2.220768,0.956892
16.127463,16.069182,14.038968,17.845488,15.133473,21.007587,20.832707,17.865087,13.892474,21.480667,17.201348,15.878699,21.672295,28.179951,18.844484,24.21607
1.366016,5.061866,4.166514,5.282723,4.025187,4.997403,5.347099,4.004743,2.378961,3.461065,3.638038,2.148247,2.515952,5.001529,2.763466,5.225258
24.502688,16.132881,29.51369,15.643917,21.873838,19.299305,22.98727,21.301458,18.734889,15.677375,19.686013,25.585762,22.038375,19.465809,26.898115,24.056121
7.441732,26.579689,5.615435,21.391632,6.18142,3.904374,20.158494,11.557845,9.958007,13.807412,16.88243,20.960418,3.205082,25.475635,10.553423,14.909955
1.765373,0.76721,2.536797,4.169338,2.803293,2.75371,3.459961,0.48044,4.088654,1.816779,3.522678,2.523607,1.787035,3.377746,3.478651,0.463241
13.79842,14.61594,13.361091,13.702497,13.64428,11.551996,10.936754,12.255065,12.939237,11.62272,11.566988,13.254754,16.875244,16.437315,16.82209,13.856667
9.284015,13.175066,16.03791,4.975878,11.086228,8.200172,8.764081,7.804977,10.487322,8.860305,9.773885,7.773949,6.047094,17.782085,16.121216,10.472639
28.159488,17.875643,29.679415,17.640277,23.927582,19.104555,23.701446,30.449438,32.542072,27.159411,26.162224,32.057137,24.850596,22.425918,37.905933,20.818127
0,0,0.11781,0,0,0.07622,0,0.120303,0.295658,0.081734,0,0,0,0,0,0
175.501491,143.783803,205.561324,211.509847,157.00833,116.900133,161.058574,155.135128,144.029805,131.938026,125.384155,98.95818,180.348053,224.970821,176.868495,248.600811
91.322837,89.438785,89.439203,87.080445,87.46224,67.130728,77.392594,99.669152,100.44914,84.35711,78.479451,95.211561,87.417922,84.114776,88.616009,92.068322
9.035761,8.95384,8.909021,9.37564,7.427103,10.539398,13.007116,8.933323,8.115661,12.056627,10.203138,8.787132,7.579474,14.137753,5.939377,8.452854
2.882598,9.512351,3.196591,7.691325,5.67898,9.33859,10.99336,5.633301,3.338102,7.65394,7.334459,3.948434,1.852832,13.753193,3.873807,8.459912
